,Name,Female?,Party,District,Winning node
0,Skårman Carl-Erik,0,1,1,"(9, 0)"
1,Romanus Gabriel,0,2,1,"(9, 9)"
2,Odenberg Mikael,0,1,1,"(9, 0)"
3,Järrel Henrik S,0,1,1,"(9, 0)"
4,Lindgren Sylvia,1,3,1,"(0, 0)"
5,Ask Beatrice,1,1,1,"(9, 0)"
6,Hoffmann Ulla,1,4,1,"(0, 9)"
7,Nordlander Inger,1,3,1,"(1, 0)"
8,Ruwaida Yvonne,1,5,1,"(0, 4)"
9,Könberg Bo,0,2,1,"(9, 9)"
10,Attefall Stefan,0,6,1,"(9, 3)"
11,Agenberg Tomas,0,3,1,"(0, 0)"
12,Papadopoulos Nikos,0,3,1,"(1, 0)"
13,Lilliehöök Anna,1,1,1,"(9, 0)"
14,Ohly Lars,0,4,1,"(0, 9)"
15,Höij Helena,1,6,1,"(9, 3)"
16,Larsson Kalle,0,4,1,"(0, 9)"
17,Narti Ana Maria,1,2,1,"(9, 9)"
18,Nordquist Kaj,0,3,1,"(0, 0)"
19,Rojas Mauricio,0,2,1,"(6, 9)"
20,Hassan Maria,1,3,1,"(0, 0)"
21,Adelsohn Liljeroth Lena,1,1,1,"(9, 0)"
22,Vestlund Börje,0,3,1,"(0, 0)"
23,Carlsson i Tyresö Gunilla,1,1,1,"(9, 1)"
24,Frans Joe,0,3,1,"(0, 0)"
25,Sabuni Nyamko,1,2,1,"(9, 9)"
26,Palm Veronica,1,3,1,"(0, 0)"
27,Ohlsson Birgitta,1,2,1,"(9, 9)"
28,Fridolin Gustav,0,5,1,"(0, 6)"
29,Johansson Anita,1,3,2,"(4, 6)"
30,Leijonborg Lars,0,2,2,"(9, 9)"
31,Johansson Jan Emanuel,0,3,2,"(4, 4)"
32,Schyman Gudrun,1,0,2,"(0, 9)"
33,Lejon Britta,1,3,2,"(0, 0)"
34,Odell Mats,0,6,2,"(6, 7)"
35,Lennmarker Göran,0,1,2,"(9, 0)"
36,Davidson Inger,1,6,2,"(6, 7)"
37,Hamilton Björn,0,1,2,"(9, 0)"
38,Reinfeldt Fredrik,0,1,2,"(4, 6)"
39,Pilsäter Karin,1,2,2,"(6, 9)"
40,Rask Ola,0,3,2,"(0, 0)"
41,Lindberg Niclas,0,3,2,"(0, 0)"
42,Arvidsson Eva,1,3,2,"(0, 0)"
43,Osman Sherifay Mariam,1,3,2,"(0, 0)"
44,Moberg Carina,1,3,2,"(4, 4)"
45,Axelsson Christina,1,3,2,"(0, 0)"
46,de Pourbaix-Lundin Marietta,1,1,2,"(9, 0)"
47,Svensson Ingvar,0,6,2,"(9, 3)"
48,Elmsäter-Svärd Catharina,1,1,2,"(9, 0)"
49,Beiming Cinnika,1,3,2,"(0, 0)"
50,Waidelich Tommy,0,3,2,"(3, 4)"
51,Westman Henrik,0,1,2,"(9, 0)"
52,Bargholtz Helena,1,2,2,"(9, 9)"
53,Ångström Lars,0,5,2,"(0, 4)"
54,Einarsson Mats,0,4,2,"(3, 9)"
55,Kerimo Yilmaz,0,3,2,"(0, 0)"
56,Enström Karin,1,1,2,"(9, 0)"
57,Hamilton Carl B,0,2,2,"(9, 9)"
58,Andrén Gunnar,0,2,2,"(9, 9)"
59,Özürküt Sermin,1,4,2,"(0, 9)"
60,Lundgren Kerstin,1,7,2,"(9, 9)"
61,Lundström Nina,1,2,2,"(9, 9)"
62,Björling Ewa,1,1,2,"(4, 6)"
63,Engström Hillevi,1,1,2,"(9, 1)"
64,Valtersson Mikaela,1,5,2,"(0, 4)"
65,Andreasson Martin,0,2,2,"(9, 9)"
66,Franzén Mia,1,2,2,"(9, 9)"
67,Damberg Mikael,0,3,2,"(0, 0)"
68,Hedquist Lennart,0,1,3,"(9, 0)"
69,Burman Ingrid,1,4,3,"(0, 9)"
70,Stenmark Rigmor,1,7,3,"(9, 9)"
71,Tingsgård Tone,1,3,3,"(0, 0)"
72,Bill Per,0,1,3,"(9, 0)"
73,Tesfazion Rezene,0,3,3,"(0, 0)"
74,Berglind Mats,0,3,3,"(0, 0)"
75,Oscarsson Mikael,0,6,3,"(9, 3)"
76,Domeij Åsa,1,5,3,"(4, 4)"
77,Gille Agneta,1,3,3,"(0, 0)"
78,Wikström Cecilia,1,2,3,"(9, 9)"
79,Ullenhag Erik,0,2,3,"(9, 9)"
80,Westerberg Per,0,1,4,"(9, 0)"
81,Furustrand Reynoldh,0,3,4,"(3, 1)"
82,Hagberg Michael,0,3,4,"(0, 0)"
83,Bjurling Laila,1,3,4,"(0, 0)"
84,Markström Elisebeht,1,3,4,"(0, 0)"
85,von der Esch Björn,0,6,4,"(9, 3)"
86,Olovsson Fredrik,0,3,4,"(0, 0)"
87,Ericson Gunvor G,1,5,4,"(0, 4)"
88,Linna Elina,1,4,4,"(0, 9)"
89,Hagberg Liselott,1,2,4,"(9, 9)"
90,Tiefensee Roger,0,7,4,"(9, 9)"
91,Hagfeldt Stefan,0,1,5,"(9, 0)"
92,Karlsson Sonia,1,3,5,"(0, 0)"
93,Danestig Britt-Marie,1,4,5,"(0, 9)"
94,Öhman Conny,0,3,5,"(0, 0)"
95,Sköldestig Berndt,0,3,5,"(0, 0)"
96,Hillar Rosenqvist Helena,1,5,5,"(0, 4)"
97,Andersson Yvonne,1,6,5,"(6, 7)"
98,Danielsson Staffan,0,7,5,"(9, 9)"
99,Axén Gunnar,0,1,5,"(9, 0)"
100,Ludvigsson Anne,1,3,5,"(0, 0)"
101,Brus Sven,0,6,5,"(9, 3)"
102,Lindgren Anna,1,1,5,"(9, 0)"
103,Darell Linnéa,1,2,5,"(9, 9)"
104,Gustafsson Billy,0,3,5,"(0, 0)"
105,Malmström Louise,1,3,5,"(0, 0)"
106,Löfstrand Johan,0,3,5,"(4, 0)"
107,Granbom Karin,1,2,5,"(9, 9)"
108,Andersson Magdalena,1,1,6,"(9, 0)"
109,Svensson Alf,0,6,6,"(9, 3)"
110,Hägglund Göran,0,6,6,"(6, 6)"
111,Nilsson Martin,0,3,6,"(0, 0)"
112,Sandgren Margareta,1,3,6,"(0, 0)"
113,Åström Alice,1,4,6,"(3, 9)"
114,Hägg Carina,1,3,6,"(0, 0)"
115,Andersson Margareta,1,7,6,"(9, 9)"
116,Wahlström Göte,0,3,6,"(3, 4)"
117,Larsson Maria,1,6,6,"(6, 7)"
118,Petersson Helene,1,3,6,"(0, 0)"
119,Johansson Bengt-Anders,0,1,6,"(9, 0)"
120,Krantz Tobias,0,2,6,"(9, 9)"
121,Högmark Anders G,0,1,7,"(9, 0)"
122,Erlandsson Eskil,0,7,7,"(9, 9)"
123,Eneroth Tomas,0,3,7,"(3, 6)"
124,Wegendal Lars,0,3,7,"(0, 0)"
125,Adolfsson Elgestam Carina,1,3,7,"(4, 4)"
126,Sandahl Olle,0,6,7,"(9, 3)"
127,Nordmark Gunnar,0,2,7,"(9, 9)"
128,Hansson Agne,0,7,8,"(9, 9)"
129,Pålsson Chatrine,1,6,8,"(9, 3)"
130,Örnfjäder Krister,0,3,8,"(4, 0)"
131,Aurelius Nils Fredrik,0,1,8,"(9, 0)"
132,Beijer Lennart,0,4,8,"(0, 9)"
133,Ringman Agneta,1,3,8,"(1, 0)"
134,Fagerström Ann-Marie,1,3,8,"(0, 0)"
135,Juholt Håkan,0,3,8,"(0, 0)"
136,Thorén Sverker,0,2,8,"(9, 9)"
137,Virgin Lilian,1,3,9,"(0, 0)"
138,Grönhagen Carina,1,3,9,"(0, 0)"
139,Skoog Christer,0,3,10,"(0, 0)"
140,Björkman Jan,0,3,10,"(0, 0)"
141,Johnsson Jeppe,0,1,10,"(9, 1)"
142,Gylling Johnny,0,6,10,"(9, 3)"
143,Berg Heli,1,2,10,"(9, 9)"
144,Andersson Kerstin,1,3,10,"(0, 0)"
145,Larsson Hillevi,1,3,11,"(0, 0)"
146,Astudillo Luciano,0,3,11,"(4, 0)"
147,Granlund Marie,1,3,11,"(0, 0)"
148,Lindkvist Britt-Marie,1,3,11,"(0, 0)"
149,Lundström Sten,0,4,11,"(0, 9)"
150,Jakobsson Leif,0,3,11,"(0, 0)"
151,Roslund Carl-Axel,0,1,11,"(9, 0)"
152,Widman Allan,0,2,11,"(9, 9)"
153,Billström Tobias,0,1,11,"(9, 0)"
154,Nilsson Annika,1,3,12,"(4, 4)"
155,Lantz Kenneth,0,6,12,"(9, 3)"
156,Husmark Pehrsson Cristina,1,1,12,"(9, 0)"
157,Karlsson Anders,0,3,12,"(0, 0)"
158,Härstedt Kent,0,3,12,"(0, 0)"
159,Stafilidis Tasso,0,4,12,"(0, 9)"
160,Hagberg Christin,1,3,12,"(0, 0)"
161,Acketoft Tina,1,2,12,"(6, 9)"
162,Strandberg Torkild,0,2,12,"(9, 9)"
163,Danielsson Peter,0,1,12,"(9, 0)"
164,Jönsson Anita,1,3,13,"(3, 4)"
165,Olander Ronny,0,3,13,"(3, 4)"
166,Persson Catherine,1,3,13,"(4, 6)"
167,Bernhardsson Bo,0,3,13,"(0, 0)"
168,Nilsson Ulf,0,2,13,"(9, 9)"
169,Svensson Smith Karin,1,4,13,"(4, 6)"
170,Jarl Beck Inger,1,3,13,"(0, 0)"
171,Lindblad Lars,0,1,13,"(9, 0)"
172,Thalén Finné Ewa,1,1,13,"(9, 0)"
173,Althin Peter,0,6,13,"(9, 3)"
174,Pålsson Anne-Marie,1,1,13,"(9, 0)"
175,Wahlgren Marie,1,2,13,"(9, 9)"
176,Holm Ulf,0,5,13,"(0, 8)"
177,Linander Johan,0,7,13,"(9, 8)"
178,Ekendahl Maud,1,1,14,"(9, 0)"
179,Skånberg Tuve,0,6,14,"(9, 3)"
180,Wester Ulla,1,3,14,"(0, 0)"
181,Sjöstrand Sven-Erik,0,4,14,"(0, 9)"
182,Bengtsson Anders,0,3,14,"(0, 0)"
183,Nylander Christer,0,2,14,"(9, 9)"
184,Engle Kerstin,1,3,14,"(0, 0)"
185,Ericson Lars-Ivar,0,7,14,"(9, 9)"
186,Pålsson Margareta,1,1,14,"(9, 0)"
187,Persson i Simrishamn Göran,0,3,14,"(3, 1)"
188,Adelsbo Christer,0,3,14,"(0, 0)"
189,Eriksson Alf,0,3,15,"(0, 0)"
190,Westerlund Panke Majléne,1,3,15,"(0, 0)"
191,Sahlberg Pär Axel,0,3,15,"(0, 0)"
192,Hoff Hans,0,3,15,"(0, 0)"
193,Kollmats Lennart,0,2,15,"(9, 9)"
194,Karlsson Kjell-Erik,0,4,15,"(0, 9)"
195,Gustafsson Lars,0,6,15,"(9, 7)"
196,Ertsborn Jan,0,2,15,"(6, 9)"
197,Brodén Anne Marie,1,1,15,"(9, 0)"
198,Andersson Jan,0,7,15,"(9, 9)"
199,von Sydow Henrik,0,1,15,"(9, 0)"
200,Carlström Marianne,1,3,16,"(0, 0)"
201,Bager Erling,0,2,16,"(6, 9)"
202,Olsson Rolf,0,4,16,"(0, 9)"
203,Brandin Claes-Göran,0,3,16,"(0, 0)"
204,Flyborg Eva,1,2,16,"(9, 9)"
205,Wittgren-Ahl Siw,1,3,16,"(0, 0)"
206,Lindblad Göran,0,1,16,"(9, 0)"
207,Sidén Anita,1,1,16,"(9, 0)"
208,Jóhannesson Berit,1,4,16,"(0, 9)"
209,Landgren Per,0,6,16,"(9, 3)"
210,Magnusson Cecilia,1,1,16,"(9, 0)"
211,Roxbergh Claes,0,5,16,"(4, 1)"
212,Enochson Annelie,1,6,16,"(9, 3)"
213,Lindén Rolf,0,3,16,"(0, 0)"
214,Johansson Lars,0,3,16,"(0, 0)"
215,Carlsson i Hisings Backa Gunilla,1,3,16,"(0, 0)"
216,Wigström Cecilia,1,2,16,"(9, 9)"
217,Darvik Axel,0,2,16,"(9, 9)"
218,Nilsson Lennart,0,3,17,"(0, 0)"
219,Bäckström Lars,0,4,17,"(0, 9)"
220,René Inger,1,1,17,"(9, 0)"
221,Olsson Kent,0,1,17,"(9, 0)"
222,Berglund Nilsson Mona,1,3,17,"(4, 4)"
223,Runegrund Rosita,1,6,17,"(9, 3)"
224,Torstensson Åsa,1,7,17,"(9, 8)"
225,Larsson Jan-Olof,0,3,17,"(0, 0)"
226,Aronson Marita,1,2,17,"(9, 9)"
227,Jönsson Mona,1,5,17,"(4, 6)"
228,Tysklind Lars,0,2,17,"(6, 9)"
229,Bråkenhielm Catharina,1,3,17,"(0, 0)"
230,Forslund Kenneth G,0,3,17,"(0, 0)"
231,Bohlin Olsson Britt,1,3,18,"(0, 0)"
232,Feltzing Barbro,1,5,18,"(0, 4)"
233,Söderqvist Nils-Erik,0,3,18,"(0, 0)"
234,Nyström Elizabeth,1,1,18,"(9, 0)"
235,Vänerlöv Ingemar,0,6,18,"(4, 6)"
236,Nenes Christina,1,3,18,"(0, 0)"
237,Dinamarca Rossana,1,4,18,"(0, 9)"
238,Brodén Anita,1,2,18,"(6, 9)"
239,Jonsson Peter,0,3,18,"(0, 0)"
240,Qarlsson Annika,1,7,18,"(9, 9)"
241,Kjörnsberg Arne,0,3,19,"(3, 1)"
242,Ekholm Berndt,0,3,19,"(1, 0)"
243,Fransson Sonja,1,3,19,"(4, 6)"
244,Ekström Anne-Marie,1,2,19,"(9, 9)"
245,Lindgren Else-Marie,1,6,19,"(9, 7)"
246,Sjösten Ulf,0,1,19,"(9, 0)"
247,Västerteg Claes,0,7,19,"(4, 9)"
248,Nordström Kjell,0,3,20,"(0, 0)"
249,Carlsson Birgitta,1,7,20,"(9, 9)"
250,Gustafsson Holger,0,6,20,"(9, 3)"
251,Rosengren Per,0,4,20,"(0, 8)"
252,Green Monica,1,3,20,"(0, 0)"
253,Ahlin Urban,0,3,20,"(0, 0)"
254,Ohlsson Carina,1,3,20,"(0, 0)"
255,Winbäck Christer,0,2,20,"(9, 9)"
256,Widegren Cecilia,1,1,20,"(9, 0)"
257,Lander Jarl,0,3,21,"(0, 0)"
258,Johansson Ann-Kristine,1,3,21,"(0, 0)"
259,Engström Marie,1,4,21,"(0, 9)"
260,Pettersson Marina,1,3,21,"(0, 0)"
261,Gerdin Viviann,1,7,21,"(9, 9)"
262,Patriksson Runar,0,2,21,"(9, 9)"
263,Kihlström Dan,0,6,21,"(9, 3)"
264,Rådhström Jan-Evert,0,1,21,"(9, 0)"
265,Björnlod Leif,0,5,21,"(0, 4)"
266,Ternemar Tommy,0,3,21,"(0, 0)"
267,Högman Berit,1,3,21,"(4, 4)"
268,Lundberg Inger,1,3,22,"(0, 0)"
269,Holmqvist Nils-Göran,0,3,22,"(0, 0)"
270,Frisk Helena,1,3,22,"(4, 0)"
271,Tolgfors Sten,0,1,22,"(9, 0)"
272,Pedersen Peter,0,4,22,"(0, 9)"
273,Johansson Mikael,0,5,22,"(0, 4)"
274,Pehrson Johan,0,2,22,"(9, 9)"
275,Larsen Sofia,1,7,22,"(9, 9)"
276,Axelsson Lennart,0,3,22,"(0, 0)"
277,Persson Sven Gunnar,0,6,22,"(9, 3)"
278,Ernkrans Matilda,1,3,22,"(0, 0)"
279,Magnusson Göran,0,3,23,"(0, 0)"
280,Israelsson Margareta,1,3,23,"(1, 0)"
281,Heinemann Kerstin,1,2,23,"(9, 9)"
282,Högström Tomas,0,1,23,"(9, 0)"
283,Nilsson Pia,1,3,23,"(0, 0)"
284,Ytterberg Mariann,1,3,23,"(3, 4)"
285,Vallius Paavo,0,3,23,"(0, 0)"
286,Johansson Jörgen,0,7,23,"(9, 9)"
287,Thorborg Karin,1,4,23,"(0, 9)"
288,Lindström Torsten,0,6,23,"(9, 3)"
289,Granström Per Erik,0,3,24,"(3, 1)"
290,Hietala Nordlund Barbro,1,3,24,"(4, 6)"
291,Gunnarsson Rolf,0,1,24,"(9, 0)"
292,Fremling Lennart,0,2,24,"(9, 9)"
293,Johansson Kenneth,0,7,24,"(9, 8)"
294,Lindholm Jan,0,5,24,"(0, 6)"
295,Ulvskog Marita,1,3,24,"(4, 1)"
296,Kvarnström Kurt,0,3,24,"(0, 0)"
297,Wiklund Anders,0,4,24,"(0, 9)"
298,Lindgren Ulrik,0,6,24,"(6, 7)"
299,Särnblad Anneli,1,3,24,"(0, 0)"
300,Bohlin Sinikka,1,3,25,"(0, 0)"
301,Norinder Patrik,0,1,25,"(9, 0)"
302,Högström Kenth,0,3,25,"(4, 0)"
303,Hellberg Owe,0,4,25,"(0, 8)"
304,Bergström Sven,0,7,25,"(9, 9)"
305,Pärssinen Raimo,0,3,25,"(3, 1)"
306,Svensson Per-Olof,0,3,25,"(0, 0)"
307,Marcelind Ragnwi,1,6,25,"(9, 3)"
308,Hedström Lotta,1,5,25,"(0, 4)"
309,Lindestam Åsa,1,3,25,"(0, 0)"
310,Backman Hans,0,2,25,"(9, 9)"
311,Stenberg Hans,0,3,26,"(0, 0)"
312,Lundberg Agneta,1,3,26,"(0, 0)"
313,Eberstein Susanne,1,3,26,"(0, 0)"
314,Kristiansson Karlstedt Kerstin,1,3,26,"(3, 4)"
315,Norlander Göran,0,3,26,"(0, 0)"
316,Sellén Birgitta,1,7,26,"(9, 9)"
317,Wahlén Gunilla,1,4,26,"(0, 9)"
318,Lindén Lars,0,6,26,"(9, 3)"
319,Hellquist Solveig,1,2,26,"(9, 9)"
320,Kjellberg Bertil,0,1,26,"(9, 0)"
321,Sandberg Gunnar,0,3,27,"(0, 0)"
322,Berglund Rune,0,3,27,"(0, 0)"
323,Nordén Marie,1,3,27,"(0, 0)"
324,Sundell Ola,0,1,27,"(9, 0)"
325,Sköld Jansson Camilla,1,4,27,"(0, 9)"
326,Larsson Håkan,0,7,27,"(9, 9)"
327,Lundberg Carin,1,3,28,"(0, 0)"
328,Rådström Britta,1,3,28,"(4, 4)"
329,Lilja Lars,0,3,28,"(4, 0)"
330,Gustavsson Lennart,0,4,28,"(0, 9)"
331,Ångström Yvonne,1,2,28,"(9, 9)"
332,Abramsson Karl Gustav,0,3,28,"(1, 0)"
333,Tjernberg Gunilla,1,6,28,"(9, 3)"
334,Löfgren Ulla,1,1,28,"(9, 1)"
335,Saarinen Ingegerd,1,5,28,"(4, 6)"
336,Wibe Sören,0,3,28,"(1, 0)"
337,Olofsson Maud,1,7,28,"(4, 6)"
338,Klockare Lennart,0,3,29,"(0, 0)"
339,Zakrisson Kristina,1,3,29,"(0, 0)"
340,Ahlqvist Birgitta,1,3,29,"(0, 0)"
341,Holma Siv,1,4,29,"(0, 9)"
342,Eriksson Peter,0,5,29,"(0, 4)"
343,Wälivaara Erling,0,6,29,"(9, 3)"
344,Åström Karin,1,3,29,"(0, 0)"
345,Gidblom Birgitta,1,3,29,"(0, 0)"
346,Öberg Maria,1,3,29,"(0, 0)"
347,Hammarbergh Krister,0,1,29,"(9, 0)"
348,Grönlund Krantz Anna,1,2,29,"(9, 9)"
